scope,scenario,long_rule,short_rule,mode,instruments,eligible,positive_net,positive_gross,median_cagr,median_drawdown,median_full_return,positive_common,thin,thin_short_full,exhausted,trades,median_short_trades,short_contribution_positive,median_delta_long,median_delta_shared,improved_long,improved_shared,less_drawdown_long,improved_both_long
Watchlist ETFs & crypto,r18_r01,r18,r01,both,21,21,10,13,0.0042863986720904634,-0.4097537750032856,-0.0022799961897471688,12,0,0,0,826,30,0,-0.05254594854700989,-0.011107181157401502,0,6,0,0
Watchlist ETFs & crypto,r18_r02,r18,r02,both,21,21,6,9,-0.011886587514994273,-0.4616609395572566,-0.11621647575043847,9,0,0,0,647,24,0,-0.06401515589487217,-0.026159928338826743,0,4,0,0
Watchlist ETFs & crypto,r18_r03,r18,r03,both,21,21,12,15,0.014663029744946154,-0.422413392665813,0.11253324647922192,13,0,0,0,868,33,1,-0.040176986860991026,0.0003030324245011373,1,11,0,0
Watchlist ETFs & crypto,r18_r04,r18,r04,both,21,21,12,13,0.012802685298094696,-0.44210979606374734,0.06597107211008146,13,0,0,0,854,32,0,-0.04259595741464706,-0.0032325063420881595,1,8,0,0
Watchlist ETFs & crypto,r18_r05,r18,r05,both,21,21,12,13,0.006292647592676337,-0.4243964140238161,0.08862513914977099,12,0,0,0,769,27,0,-0.049105995120065415,-0.01797790940002042,0,8,0,0
Watchlist ETFs & crypto,r18_r06,r18,r06,both,21,21,3,5,-0.015937143646701735,-0.548490169542402,-0.1849234197541244,7,0,0,0,435,13,0,-0.0765856878529887,-0.038701063141474146,0,1,0,0
Watchlist ETFs & crypto,r18_r07,r18,r07,both,21,21,11,14,0.008075105797792137,-0.4197458780917249,0.01849340315039827,13,0,0,0,663,22,0,-0.04385151926683584,-0.013079626237899267,1,8,0,0
Watchlist ETFs & crypto,r18_r08,r18,r08,both,21,21,10,11,0.0034711690066064893,-0.43717521222860245,-0.03478455657370583,11,0,0,0,548,19,0,-0.05286418162304385,-0.019544879812834592,0,7,0,0
Watchlist ETFs & crypto,r18_r09,r18,r09,both,21,21,12,14,0.012509084439418228,-0.4210456894284993,0.14410962097455093,14,0,0,0,689,23,1,-0.0420797273995539,-0.0001888353847876445,1,10,0,0
Watchlist ETFs & crypto,r18_r10,r18,r10,both,21,21,11,14,0.01069908091673466,-0.4196818685470136,0.12414288858213429,14,0,0,0,683,23,1,-0.04074051591304695,-0.0022188148947727138,1,10,0,0
