scope,mode,entry,exit,instruments,eligible,positive_full,positive_common,median_cagr,median_drawdown,median_full_return,thin_trade_samples,exhausted,channel_exit_share,closed_trades,neighbor_median
Whole universe,both,20,10,678,662,86,80,-0.06587157510367841,-0.6619081886690938,-0.4891147195557749,0,0,0.17433356550370419,63172,-0.06544260080407963
Whole universe,both,20,20,678,662,93,95,-0.06501362650448084,-0.663848261785317,-0.4759244024290379,0,1,0.01062039442510988,61203,-0.06501362650448084
Whole universe,both,20,55,678,662,78,95,-0.06422408635213056,-0.6651392449083071,-0.48857345364275806,0,1,0.00037936267071320183,60628,-0.06422408635213056
Whole universe,both,20,100,678,662,85,95,-0.06422408635213056,-0.6651392449083071,-0.4703436221584701,0,1,0.0003196285579705269,59444,-0.06422408635213056
Whole universe,both,55,10,678,662,102,107,-0.04542552173577136,-0.5530091466192826,-0.36975677163904164,0,1,0.1624056235355376,38410,-0.04450743916659322
Whole universe,both,55,20,678,662,102,106,-0.043589356597415085,-0.5547523349633005,-0.37104807942862483,0,1,0.009584493467551938,37352,-0.043589356597415085
Whole universe,both,55,55,678,662,100,105,-0.04352088729764009,-0.5553531005687562,-0.37018093439702787,0,1,8.04203302594896e-05,37304,-0.04352088729764009
Whole universe,both,55,100,678,662,109,105,-0.04352088729764009,-0.5553531005687562,-0.3602469855483098,0,1,2.730300879156883e-05,36626,-0.04352088729764009
Whole universe,both,100,10,678,662,138,138,-0.031990803856693006,-0.4862571669108108,-0.26401653113827894,1,1,0.15651037988984606,28324,-0.03169748109625101
Whole universe,both,100,20,678,662,131,126,-0.03140415833580901,-0.4886201285874621,-0.25618424031685927,1,1,0.009655873384637723,27548,-0.03190917131240534
Whole universe,both,100,55,678,662,132,126,-0.03190917131240534,-0.48763549037824927,-0.2555742426629687,1,1,3.6355704209990546e-05,27506,-0.03190917131240534
Whole universe,both,100,100,678,662,132,125,-0.03190917131240534,-0.48763549037824927,-0.2555742426629687,1,1,0.0,27506,-0.03190917131240534
Whole universe,both,200,10,678,662,196,193,-0.018725764719190408,-0.40962643344540856,-0.14678883696129535,2,1,0.1482643655618749,20396,-0.018733890111282236
Whole universe,both,200,20,678,662,198,195,-0.018733890111282236,-0.4107027199619629,-0.14663419485299467,2,1,0.008112057237869704,19847,-0.018826487140714776
Whole universe,both,200,55,678,662,200,197,-0.018919084170147316,-0.4107027199619629,-0.1475633922225994,2,1,5.044899606497831e-05,19822,-0.018919084170147316
Whole universe,both,200,100,678,662,200,197,-0.018919084170147316,-0.4107027199619629,-0.1475633922225994,2,1,0.0,19822,-0.018919084170147316
Whole universe,long,10,10,678,662,416,398,0.012760441602338024,-0.4344604650352102,0.18316027502106447,1,0,0.1880461610299513,44973,0.012760441602338024
Whole universe,long,10,20,678,662,429,400,0.015818288869418273,-0.43920488633392707,0.18913038124033266,1,0,0.01325805779865337,43219,0.014289365235878149
Whole universe,long,10,55,678,662,401,404,0.01588388033408994,-0.4365659914116762,0.13328409392571938,1,0,0.0013119362773808129,42685,0.015851084601754106
Whole universe,long,10,100,678,662,412,404,0.01588388033408994,-0.4365659914116762,0.15841137190576782,1,0,0.0006706104950542476,41753,0.01588388033408994
Whole universe,long,20,10,678,662,394,384,0.008722687278255759,-0.4014693688601573,0.10513137321046839,1,0,0.17611614828417307,34852,0.009666321839074066
Whole universe,long,20,20,678,662,409,387,0.010609956399892373,-0.39746861656615107,0.11202550585201698,1,0,0.010865358854523263,33593,0.010609956399892373
Whole universe,long,20,55,678,662,387,387,0.010632220694757,-0.3978247201643838,0.07000831649820705,1,0,0.00033204539966191744,33128,0.010632220694757
Whole universe,long,20,100,678,662,392,387,0.010632220694757,-0.3978247201643838,0.092680395104901,1,0,0.0002472952086553323,32350,0.010632220694757
