scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,channel_initial-e10-x20-i3-t3,short,60,60,0,3,0,-0.0873326710061551,-0.6306304206955644,-0.6157644269157654,1,0,2689,1675,1014,0
Priority assets,channel_initial-e10-x55-i2-t3,both,60,60,36,44,41,0.014230491277254731,-0.49328341096499917,0.12191318589569233,2,0,2358,676,1682,0
Priority assets,channel_initial-e10-x55-i2-t3,long,60,60,57,59,59,0.08266831639947136,-0.33927058662802106,0.9794717481229197,2,0,1413,541,872,0
Priority assets,channel_initial-e10-x55-i2-t3,short,60,60,0,3,0,-0.09700991001512899,-0.6784300324272017,-0.6578626644265181,1,0,2519,459,2060,0
Priority assets,channel_initial-e10-x55-i3-t3,both,60,60,38,43,36,0.008667582257026352,-0.4993239183477411,0.05422910719360485,2,0,1798,755,1043,0
Priority assets,channel_initial-e10-x55-i3-t3,long,60,60,58,59,59,0.07555360066600902,-0.361543668074608,0.871217612690877,2,0,1173,626,547,0
Priority assets,channel_initial-e10-x55-i3-t3,short,60,60,0,2,0,-0.10443411928003615,-0.6860978013705994,-0.683508089376458,1,0,2059,821,1238,0
Priority assets,channel_initial-e20-x10-i2-t3,both,60,60,17,29,17,-0.02076515246235683,-0.4693559973884274,-0.1999238698598983,1,0,4970,2923,2047,0
Priority assets,channel_initial-e20-x10-i2-t3,long,60,60,46,55,48,0.026878823734301505,-0.24871718188408487,0.3001533139980018,1,0,2787,1849,938,0
Priority assets,channel_initial-e20-x10-i2-t3,short,60,60,2,6,2,-0.06796858189749572,-0.5199185506297072,-0.5264975646895967,2,0,2318,1147,1171,0
Priority assets,channel_initial-e20-x10-i3-t3,both,60,60,14,26,13,-0.02576298929714821,-0.45225523997844813,-0.24051020064097006,1,0,4653,3851,802,0
Priority assets,channel_initial-e20-x10-i3-t3,long,60,60,52,59,50,0.03112122987697874,-0.26184233015891384,0.34201831754951584,1,0,2612,2283,329,0
Priority assets,channel_initial-e20-x10-i3-t3,short,60,60,1,6,1,-0.0723449292343441,-0.5574618604814852,-0.5497961729691998,2,0,2202,1694,508,0
Priority assets,channel_initial-e20-x20-i2-t3,both,60,60,24,35,26,-0.0026457592231644567,-0.47073027733579503,-0.05008262214615561,1,0,3763,1657,2106,0
Priority assets,channel_initial-e20-x20-i2-t3,long,60,60,56,59,55,0.03895765890309666,-0.2760496687351324,0.47481936316822515,2,0,2116,1144,972,0
Priority assets,channel_initial-e20-x20-i2-t3,short,60,60,2,6,1,-0.06350179188703942,-0.5113359000802379,-0.4890275574318029,2,0,2064,678,1386,0
Priority assets,channel_initial-e20-x20-i3-t3,both,60,60,23,35,27,-0.00440187732853442,-0.4609153034419345,-0.06219521751062501,1,0,3281,2138,1143,0
Priority assets,channel_initial-e20-x20-i3-t3,long,60,60,58,59,58,0.04629703036840471,-0.2822877989257629,0.5769250406786373,2,0,1865,1381,484,0
Priority assets,channel_initial-e20-x20-i3-t3,short,60,60,1,4,2,-0.07624369913224088,-0.5666708118589356,-0.51182533024559,2,0,1870,1048,822,0
Priority assets,channel_initial-e20-x55-i2-t3,both,60,60,34,39,37,0.01653884454585408,-0.453381424108286,0.11376424984010203,2,0,2208,642,1566,0
Priority assets,channel_initial-e20-x55-i2-t3,long,60,60,57,57,57,0.0713889082521677,-0.32343148844715525,0.6153653844722422,2,0,1271,484,787,0
Priority assets,channel_initial-e20-x55-i2-t3,short,60,60,1,3,1,-0.08581313849793537,-0.6078189669731295,-0.5951779626449271,2,0,1803,310,1493,0
Priority assets,channel_initial-e20-x55-i3-t3,both,60,60,34,41,37,0.012842891828134584,-0.5024866471770569,0.10906904229516312,2,0,1743,732,1011,0
Priority assets,channel_initial-e20-x55-i3-t3,long,60,60,59,60,59,0.08221810763741544,-0.3235147219020639,1.031454963195328,2,0,1022,544,478,0
Priority assets,channel_initial-e20-x55-i3-t3,short,60,60,0,3,0,-0.09350135065074289,-0.6493114138231252,-0.6285485106442856,2,0,1546,443,1103,0
Priority assets,channel_initial-e55-x10-i2-t3,both,60,60,21,30,22,-0.01145606822084877,-0.41009286812551904,-0.12128909079773009,1,0,3098,1806,1292,0
