signal,threshold,gate,window,n_events,events_yr,hit_3,hit_5,hit_10,peak_h,peak_mean,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_10,mean_12,mean_15,mean_20
raw,90.0,none,5,156978,16225.781788351109,0.534246837136414,0.5410184866669214,0.5506886315279849,20,0.01844861480292214,0.0012664983674200137,0.002468000803640966,0.0035930114073843404,0.0045303740977385865,0.005350063361900018,0.006048026297471273,0.006769179337444333,0.007491602913373629,0.009045525698684753,0.010928424393547917,0.01368515987048555,0.01844861480292214
raw,90.0,liquid,5,25847,2671.63412633306,0.529307076256432,0.5314349827833017,0.5420358262080706,20,0.017480040143823875,0.0013718563742742115,0.0025251541033278024,0.003815800205132383,0.004547329457103055,0.005026907094116217,0.005430426672190755,0.0060694241650050525,0.00691688220663609,0.00911207678965576,0.011479999585238957,0.013153987921468942,0.017480040143823875
raw,90.0,trend,5,13319,1376.6972928630025,0.5329979728207823,0.5343494256325549,0.5464374202267438,20,0.01918016633108755,0.0016015777569281164,0.0028298556201670046,0.003936765338003308,0.004736385885324128,0.005263058203254793,0.005638240610506281,0.006249807343784809,0.007458937948936746,0.010398187092378414,0.01298724875864939,0.014400199568987568,0.01918016633108755
raw,95.0,none,5,79183,8184.625102543068,0.5298106916888726,0.5362135811979845,0.5457358271346122,20,0.019695470353300725,0.0013385178695509657,0.0027666376877323903,0.004011491275311978,0.004980471597051637,0.005861521193886045,0.006532920152565269,0.0072976337932047506,0.00793401075851511,0.009470623088289424,0.011403002834472495,0.014282530228002023,0.019695470353300725
raw,95.0,liquid,5,13745,1420.7301066447908,0.5193888686795198,0.5214259730811204,0.5311749727173518,20,0.018616476231296877,0.0015818383951224243,0.003007375111990708,0.0043504001917489925,0.005222924571470207,0.005585899376021399,0.005809254367157995,0.006457694902855745,0.007242381715540485,0.009438057233050126,0.011825569357855586,0.012971749191406631,0.018616476231296877
raw,95.0,trend,5,6695,692.0180475799837,0.5294996265870052,0.5294996265870052,0.5438386855862584,20,0.022068417558374524,0.002247542485719991,0.003981803728923401,0.005247438432653372,0.006490859252858929,0.006584496285305715,0.006673533589720996,0.007485639512473471,0.008894572119901583,0.012115147604347627,0.014421966600569117,0.015361632465682363,0.022068417558374524
sector_rel,90.0,none,5,119283,12329.497949138638,0.5369164088763696,0.5455597193229547,0.5589899650411208,20,0.018755218704752892,0.0011673722928931143,0.0022796400681258768,0.0033922386688938063,0.004395364396781681,0.0053123856044122895,0.006129456733937093,0.006935981809641822,0.007723000819243016,0.009392813735674624,0.011136376162751678,0.0138583252657502,0.018755218704752892
sector_rel,90.0,liquid,5,20292,2097.4503691550453,0.5329193770944215,0.5414941849004534,0.5502168342203824,20,0.019605742332132095,0.001548517390000273,0.0028074497968395415,0.004025418487028454,0.0049546946855347825,0.005769796733858001,0.006299061331233752,0.006982795226839803,0.007977961973246557,0.010296376502076439,0.01257434881477203,0.015010137594042405,0.019605742332132095
sector_rel,90.0,trend,5,10785,1114.774405250205,0.5363931386184515,0.5444598980064905,0.5538247566063977,20,0.021635189683032907,0.0018158476755770956,0.0029314328902180268,0.003935853227696893,0.004892748021654616,0.005576862346548473,0.006006927863723312,0.006731210820023221,0.008279910413339468,0.011114509623873463,0.013763975305508453,0.015847120208265363,0.021635189683032907
sector_rel,95.0,none,5,60247,6227.335520918787,0.5335867346091921,0.5416535263166631,0.5568907995418859,20,0.020482698117553495,0.001242431424982616,0.0024830121526035697,0.003723579630064478,0.004830581790852397,0.005753540457561485,0.006543254055839943,0.007291796865618261,0.008096005504164028,0.009970131179177964,0.01176422842129939,0.01478228615428886,0.020482698117553495
sector_rel,95.0,liquid,5,11251,1162.9417555373257,0.5290196426984268,0.5325748822326904,0.5418185050217759,20,0.02181416949804633,0.0015844852801248771,0.003105502754423068,0.004600879689175654,0.005519234009936818,0.006025638110962726,0.006479698070876817,0.007064542724250695,0.008033007999405062,0.010451279119137541,0.013064846700880752,0.01543523459469129,0.02181416949804633
sector_rel,95.0,trend,5,5649,583.8999179655456,0.5351389626482563,0.5363781200212427,0.5528412108337759,20,0.025433289836496745,0.0020929734597618277,0.0035245081225392773,0.004722624555389865,0.005689980573176694,0.005905795164545026,0.006055633152100688,0.00699339558378691,0.008750742868456401,0.012109078315665224,0.015290695826646534,0.017481492343566184,0.025433289836496745
max,90.0,none,5,191597,19804.11977030353,0.5354363586068676,0.543207879037772,0.5539387359927348,20,0.01817536191746544,0.0012505631328259984,0.002391216881371253,0.0034751603475738514,0.004426399247259588,0.005262573342256244,0.006010167751377625,0.006732144243454804,0.0074843283119613024,0.009058941463008344,0.010808132130309133,0.013510488223039784,0.01817536191746544
max,90.0,liquid,5,31343,3239.71944216571,0.5303576556168842,0.5348243626966148,0.5451935041317041,20,0.017244760777434625,0.0014187454223635887,0.002482389718143675,0.00364140986440374,0.004373406703493033,0.004897609892252366,0.005342343687226738,0.005949311509586218,0.006837051519730299,0.009021179640712293,0.01118516836267326,0.013025046470799738,0.017244760777434625
max,90.0,trend,5,16597,1715.5225594749795,0.5356389708983551,0.5409411339398686,0.5492558896186057,20,0.018622670838996675,0.0016211455904742563,0.0026833180704650874,0.003715238094276904,0.004583247813755862,0.005111102644528031,0.005529520913538483,0.00608995087025593,0.0072918349508279716,0.010047509392526788,0.012372065868165182,0.01392580747223594,0.018622670838996675
