symbol,group,watchlist_section,period,bars,both_sharpe,both_cagr,both_max_drawdown,long_sharpe,long_cagr,long_max_drawdown,short_sharpe,short_cagr,short_max_drawdown,d_sharpe,d_cagr,d_ddred
DRI,Individual equity,,2020-2022,756,0.7101959434010792,0.21641621161573843,-0.41439381248456253,0.15466166659886912,0.01129603408090496,-0.27024729131094405,0.6941130844381619,0.18784891513647306,-0.36389659612736414,0.55553427680221,0.20512017753483347,-0.14414652117361848
DRI,Individual equity,,2023-present,917,0.21618298632813715,0.021551861551465157,-0.27656896293034494,0.6992838245100236,0.08136848951872322,-0.1281017786114993,-0.4651179279307385,-0.04759366687158484,-0.246204107095219,-0.4831008381818864,-0.05981662796725806,-0.14846718431884565
DTE,Individual equity,,2016-2019,1006,0.7144784318833923,0.0731793528955289,-0.11512429153791315,0.9908813447932596,0.07988854503459453,-0.07054235893324767,0.12513743625623971,0.006393591263179177,-0.10940320559793648,-0.2764029129098673,-0.006709192139065623,-0.044581932604665475
DTE,Individual equity,,2020-2022,756,0.3917448487997902,0.06880990164196454,-0.27827954084227724,0.4149224032653992,0.04530730553572604,-0.1281996314048045,0.2789481856025497,0.037710877498495554,-0.24100497007283916,-0.023177554465608985,0.023502596106238505,-0.15007990943747274
DTE,Individual equity,,2023-present,917,0.2525223083221923,0.024818309891718293,-0.17324745209220904,0.781509756544078,0.07487266917680535,-0.08536851298495174,-0.2096480934161294,-0.02305874701698707,-0.2199005593256389,-0.5289874482218857,-0.05005435928508706,-0.0878789391072573
DUK,Individual equity,,2016-2019,1006,0.2950121386104962,0.02580452736149441,-0.14869792297872475,0.6532022259067094,0.05010407712488285,-0.08237898258731013,-0.2886130653392127,-0.02277360946689233,-0.14141206555430463,-0.3581900872962132,-0.02429954976338844,-0.06631894039141462
DUK,Individual equity,,2020-2022,756,0.4241280919358839,0.06870510985369438,-0.2757480687119117,0.6760810494171859,0.07231004450897549,-0.12773680287032585,0.12333710915351735,0.005861356938648088,-0.26659614412362986,-0.25195295748130203,-0.0036049346552811112,-0.14801126584158586
DUK,Individual equity,,2023-present,917,0.500221659275176,0.056094031409079426,-0.1420388496940812,0.957035713891146,0.09217989496604373,-0.0774607919265381,-0.5442862105588357,-0.04574029890070774,-0.1963436316052054,-0.4568140546159699,-0.036085863556964304,-0.0645780577675431
DVA,Individual equity,,2016-2019,1006,0.7730523593399021,0.13597362530100354,-0.2213080502559659,0.6993242913649077,0.09768862057366201,-0.2344725644223743,0.42588736971742247,0.04548426606651024,-0.1239465616448111,0.07372806797499443,0.03828500472734153,0.013164514166408403
DVA,Individual equity,,2020-2022,756,0.35594521684549907,0.055741956064866205,-0.24804614910725575,0.7364911412247053,0.10685705863942663,-0.13886292648687348,-0.15747016508836464,-0.038080994548828184,-0.2497962339001033,-0.3805459243792062,-0.05111510257456042,-0.10918322262038227
DVA,Individual equity,,2023-present,917,1.0399243177296964,0.23489918217269024,-0.22090949369782975,1.5088801775645873,0.27969401056985843,-0.1352676532531466,0.09655336346211284,0.003247578904819859,-0.2120426185746197,-0.46895585983489085,-0.044794828397168196,-0.08564184044468315
DVN,Individual equity,,2016-2019,1006,0.9619496135517999,0.26930148790286745,-0.30883175931763274,0.8747283144115854,0.1606326298681504,-0.20249546140771657,0.5885823426191359,0.11362241296748121,-0.21037609586175776,0.08722129914021448,0.10866885803471704,-0.10633629790991617
DVN,Individual equity,,2020-2022,756,1.3979246083205554,0.8806465947325066,-0.3335698296306515,1.4404431028642504,0.5684928125604858,-0.1841761384271765,0.6366484429116057,0.20456519378964733,-0.483141007302178,-0.04251849454369494,0.31215378217202083,-0.149393691203475
