scope,scenario,period,cost,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e5-x55-s0,validation,normal,60,0.07079687466853002,-0.3830355880237357,52,0.4810779719913695,1,2,0
Priority assets,e5-x55-s0,validation,double,60,0.0663036163087386,-0.3884854229658378,50,0.40665561940908,1,2,0
Priority assets,e5-x55-s0,validation,gross,60,0.07841095485036897,-0.37147635763140396,55,0.5826338968067328,1,2,0
Priority assets,e5-x55-s2,full,normal,60,0.08365860062879227,-0.3923996198074233,58,1.3574310929986975,1,0,0
Priority assets,e5-x55-s2,full,double,60,0.07184735794574126,-0.41521374594847493,57,1.0962209830057645,1,0,0
Priority assets,e5-x55-s2,full,gross,60,0.09286702486714049,-0.37451525188303275,59,1.5792911690770042,1,0,0
Priority assets,e5-x55-s2,validation,normal,60,0.06787482132973544,-0.3874287946582913,53,0.49521533976173326,1,2,0
Priority assets,e5-x55-s2,validation,double,60,0.06282380464368698,-0.40957972397230485,49,0.39891509805033376,1,2,0
Priority assets,e5-x55-s2,validation,gross,60,0.0770009327536001,-0.37451525188303275,57,0.6092214494117462,1,2,0
Priority assets,e5-x55-s3,full,normal,60,0.08453888225934214,-0.3769930210559461,58,1.3801550555600963,1,0,0
Priority assets,e5-x55-s3,full,double,60,0.07795678782981119,-0.38884015198832006,57,1.231786137058069,1,0,0
Priority assets,e5-x55-s3,full,gross,60,0.09294986136374095,-0.36281130850076687,58,1.5816500769412816,1,0,0
Priority assets,e5-x55-s3,validation,normal,60,0.0809823792848432,-0.37699302105594623,53,0.6570241482925132,1,2,0
Priority assets,e5-x55-s3,validation,double,60,0.07174640845086444,-0.38884015198831984,52,0.5266377501197453,1,2,0
Priority assets,e5-x55-s3,validation,gross,60,0.09117937796556663,-0.3628113085007669,56,0.7524166660348848,1,2,0
Priority assets,e5-x70-s0,full,normal,60,0.08954407516247498,-0.3724427754886174,58,1.4984314698267809,1,0,0
Priority assets,e5-x70-s0,full,double,60,0.08485351653301565,-0.3840290812611147,57,1.3852301284966035,1,0,0
Priority assets,e5-x70-s0,full,gross,60,0.09551119468190772,-0.3606760798878307,59,1.6471107719453677,1,0,0
Priority assets,e5-x70-s0,validation,normal,60,0.07985411841800916,-0.37244277548861776,53,0.5774133800636747,2,2,0
Priority assets,e5-x70-s0,validation,double,60,0.06993669656760682,-0.3840290812611147,52,0.5014977609611746,2,2,0
Priority assets,e5-x70-s0,validation,gross,60,0.08647602212136385,-0.3606760798878305,56,0.6363789434508732,2,2,0
Priority assets,e5-x70-s2,full,normal,60,0.08715804737620458,-0.38188757099358,58,1.4319674019068438,1,0,0
Priority assets,e5-x70-s2,full,double,60,0.07919378177136649,-0.39505563950313305,57,1.2547079110349153,1,0,0
Priority assets,e5-x70-s2,full,gross,60,0.09517503473808708,-0.3614451993011628,59,1.5793286508750417,1,0,0
Priority assets,e5-x70-s2,validation,normal,60,0.07241363830949932,-0.38188757099358034,55,0.5310017814084701,2,2,0
Priority assets,e5-x70-s2,validation,double,60,0.06815562926621699,-0.3918688170517952,53,0.4476358659852062,2,2,0
Priority assets,e5-x70-s2,validation,gross,60,0.08042380886856382,-0.36144519930116287,57,0.6191354803630741,2,2,0
Priority assets,e5-x70-s3,full,normal,60,0.09152617960732967,-0.36915763064782947,59,1.5452742083105122,1,0,0
Priority assets,e5-x70-s3,full,double,60,0.08590446755879522,-0.3754747430394912,58,1.4087048560307618,1,0,0
Priority assets,e5-x70-s3,full,gross,60,0.0958777381404281,-0.36281130850076687,60,1.6457535891839907,1,0,0
