scope,scenario,cost,year,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e20-x55-s3,normal,2023,58,0.07694739908936787,-0.10556213009859128,48,0.07667418752362865,58,58,0
Priority assets,e20-x55-s3,normal,2024,58,0.06042923804514311,-0.10113551293390793,40,0.06089786564842037,57,58,0
Priority assets,e20-x55-s3,normal,2025,60,0.05111059646878313,-0.12511699673693616,43,0.05107473377598115,60,60,0
Priority assets,e20-x55-s3,normal,2026,60,0.0283091640735188,-0.13336463756570427,34,0.0190808146504986,60,60,0
Priority assets,e20-x55-s3,double,2020,56,0.12261871529868995,-0.1400712979115657,46,0.12217437195758052,55,56,0
Priority assets,e20-x55-s3,double,2021,56,0.10853926651533097,-0.08823034045093509,37,0.10846103245796868,56,56,0
Priority assets,e20-x55-s3,double,2022,57,-0.13295641485994425,-0.2464043076233834,7,-0.13253297930018748,55,57,0
Priority assets,e20-x55-s3,double,2023,58,0.07241229422766882,-0.10602199925444433,48,0.07215571157544287,58,58,0
Priority assets,e20-x55-s3,double,2024,58,0.0583495456727986,-0.10123723414384705,39,0.058801687506454536,57,58,0
Priority assets,e20-x55-s3,double,2025,60,0.048562833726466526,-0.12715894392569277,42,0.04852880018798367,60,60,0
Priority assets,e20-x55-s3,double,2026,60,0.02338546175747147,-0.13682810494095615,34,0.015739391027504546,60,60,0
Priority assets,baseline-long,normal,2020,56,0.037214741492701764,-0.10940282877804114,39,0.0370850078766749,20,56,0
Priority assets,baseline-long,normal,2021,56,0.0,-0.07659960392402199,27,0.0,13,56,0
Priority assets,baseline-long,normal,2022,57,-0.004315276250397959,-0.10279286150856404,22,-0.004300539823674621,41,57,0
Priority assets,baseline-long,normal,2023,58,0.04830376050203766,-0.08986436783577928,44,0.048134532867294966,31,58,0
Priority assets,baseline-long,normal,2024,58,-0.0021467098016912933,-0.07818606296738712,29,-0.0021628001252081974,10,58,0
Priority assets,baseline-long,normal,2025,60,0.0136707827237047,-0.08217674307536504,35,0.013661361872050581,26,60,0
Priority assets,baseline-long,normal,2026,60,-0.004170378579725242,-0.0961802205041698,29,-0.002822447513861015,47,60,0
Priority assets,baseline-long,double,2020,56,0.03250209854946384,-0.11608881117001602,36,0.03238907269285529,20,56,0
Priority assets,baseline-long,double,2021,56,-0.0011961326814294848,-0.08273202884575842,25,-0.0011953145334057114,13,56,0
Priority assets,baseline-long,double,2022,57,-0.015943051160184463,-0.11037926292693867,20,-0.015888924826088613,41,57,0
Priority assets,baseline-long,double,2023,58,0.04084034170001272,-0.09454489377457553,40,0.04069776696246863,31,58,0
Priority assets,baseline-long,double,2024,58,-0.014014303223067959,-0.08797506955819628,26,-0.014119051395140025,10,58,0
Priority assets,baseline-long,double,2025,60,0.0013116968173420007,-0.0892977165377763,31,0.0013107984215967594,26,60,0
Priority assets,baseline-long,double,2026,60,-0.011805563765792115,-0.10039769297238721,23,-0.007998839203603891,47,60,0
