id,scope,window,book,method,cost,ending,net,cagr,drawdown,average_gross,maximum_gross,funding_deficit_days,stale_position_days,maximum_stale_gross,fees,slippage,borrow,largest_symbol_fraction,largest_group_fraction,entries,closed_trades,assets_funded,long_contribution,short_contribution,max_identity_error,max_entry_budget_error,scaled_cap_requests,scaled_funding_requests,unfunded,sleeve_deficit_days,same_day_round_trips
universe__full__combined-channel__capped-vol__double,universe,full,combined-channel,capped-vol,double,137895.3751153048,0.3789537511530481,0.030574583021105717,-0.13610590883105678,0.5881426177825345,0.825280119253131,0,0,0.0,5042.974934339141,11198.536596337493,2764.225126423749,0.04280541605524269,0.6554699676728639,39041,38250,674,0.7174845676412475,-0.14847344991719105,2.255546860396862e-09,0.0,0,0,0,0,392
universe__full__combined-initial__equal__double,universe,full,combined-initial,equal,double,173591.16145652998,0.7359116145652997,0.053052324265629336,-0.18114294434709077,0.635483357080611,0.9009358237905798,0,0,0.0,6376.765890828573,18006.864224195393,2754.2924078060337,0.051071783972261246,0.880716458108298,41059,40305,674,1.2009329732709435,-0.19364213347738718,4.089088179171085e-09,2.2737367544323206e-13,0,384,93,0,416
universe__full__combined-initial__inverse-vol__double,universe,full,combined-initial,inverse-vol,double,132206.43840304253,0.32206438403042537,0.026513144325367,-0.12585665078985553,0.5609837406404918,0.7792984898995285,0,0,0.0,5365.7990152870025,11792.616506047765,2764.225126423749,0.03819541157213507,0.6389972718549095,41152,40398,674,0.6697642404252033,-0.14847344991719105,2.255546860396862e-09,0.0,0,0,0,0,416
universe__full__combined-initial__capped-vol__double,universe,full,combined-initial,capped-vol,double,132206.43840304253,0.32206438403042537,0.026513144325367,-0.12585665078985553,0.5609837406404918,0.7792984898995285,0,0,0.0,5365.7990152870025,11792.616506047765,2764.225126423749,0.03819541157213507,0.6389972718549095,41152,40398,674,0.6697642404252033,-0.14847344991719105,2.255546860396862e-09,0.0,0,0,0,0,416
universe__full__buy-hold__equal__double,universe,full,buy-hold,equal,double,576692.1819584629,4.7669218195846295,0.17847452806920816,-0.35060204059275824,0.9420267189700819,0.9992327312733729,0,3146,354.18092424216866,99.19523684821667,263.09003882892506,0.0,0.07296466640807306,0.9933470202628004,675,0,675,4.7705446723413925,0.0,1.0477378964424133e-09,0.0,0,0,0,0,0
universe__recent__long-channel__equal__normal,universe,recent,long-channel,equal,normal,231345.42066089917,1.3134542066089918,0.13383413338015582,-0.22763666346084555,0.8376830718542261,1.0,0,0,0.0,1657.0761177919217,5285.450738546277,0.0,0.05662262800636857,0.9868733558955329,7650,7126,674,1.3828794751723739,0.0,1.076841726899147e-09,4.547473508864641e-13,0,387,103,0,0
universe__recent__long-channel__inverse-vol__normal,universe,recent,long-channel,inverse-vol,normal,172708.83801621478,0.7270883801621477,0.08527251480008591,-0.16811982574222728,0.7821133609817044,0.9733082521922352,0,0,0.0,1283.8247048746287,3205.3680385189964,0.0,0.046787876725083784,0.80837094252712,7753,7229,674,0.7719803075960855,0.0,2.3283064365386963e-10,0.0,0,0,0,0,0
universe__recent__long-channel__capped-vol__normal,universe,recent,long-channel,capped-vol,normal,167861.30608920136,0.6786130608920136,0.08065545804768992,-0.15673792202145065,0.7341840428149523,0.8987954162241147,0,0,0.0,1178.6731080956358,2911.805477294863,0.0,0.046466410379463335,0.7105434630728451,7427,6912,674,0.7195178467459191,0.0,3.2014213502407074e-10,0.0,841,301,326,0,0
universe__recent__long-initial__equal__normal,universe,recent,long-initial,equal,normal,230239.01842675524,1.3023901842675523,0.13302043251069873,-0.20741905006272576,0.804368880932356,1.0,0,0,0.0,2001.864413393619,6207.970527276003,0.0,0.05656618062064074,0.9914232990977461,8962,8475,674,1.3844885336742774,0.0,3.230525180697441e-09,9.094947017729282e-13,0,280,79,0,21
universe__recent__long-initial__inverse-vol__normal,universe,recent,long-initial,inverse-vol,normal,174130.48283567312,0.7413048283567312,0.08660566488178678,-0.15024547425134616,0.7437139141784075,0.953514938834284,0,0,0.0,1524.7781331423776,3695.1175507982384,0.0,0.04656190230006748,0.8094656403460418,9041,8554,674,0.7935037851961358,0.0,4.656612873077393e-10,0.0,0,0,0,0,21
